title,abstract,journal,authors,source_x,publish_time
COVID-19 Research Paper 1,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 1.",Science,Brown et al.,arXiv,2021-11-13
COVID-19 Research Paper 2,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 2.",PLOS ONE,Johnson et al.,PubMed,2020-02-18
COVID-19 Research Paper 3,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 3.",JAMA,Lee et al.,WHO,2020-02-10
COVID-19 Research Paper 4,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 4.",Nature,Johnson et al.,bioRxiv,2020-09-08
COVID-19 Research Paper 5,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 5.",Science,Garcia et al.,bioRxiv,2020-10-11
COVID-19 Research Paper 6,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 6.",BMJ,Brown et al.,arXiv,2022-03-09
COVID-19 Research Paper 7,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 7.",PLOS ONE,Brown et al.,Elsevier,2023-03-15
COVID-19 Research Paper 8,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 8.",Nature,Brown et al.,arXiv,2022-01-31
COVID-19 Research Paper 9,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 9.",Cell,Lee et al.,WHO,2020-01-25
COVID-19 Research Paper 10,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 10.",PLOS ONE,Smith et al.,PubMed,2022-01-20
COVID-19 Research Paper 11,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 11.",Science,Lee et al.,arXiv,2022-05-04
COVID-19 Research Paper 12,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 12.",PLOS ONE,Johnson et al.,PubMed,2023-11-20
COVID-19 Research Paper 13,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 13.",BMJ,Smith et al.,bioRxiv,2020-08-20
COVID-19 Research Paper 14,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 14.",The Lancet,Garcia et al.,PubMed,2023-11-19
COVID-19 Research Paper 15,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 15.",Science,Garcia et al.,Elsevier,2021-12-24
COVID-19 Research Paper 16,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 16.",Nature,Smith et al.,WHO,2021-06-21
COVID-19 Research Paper 17,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 17.",Cell,Lee et al.,Elsevier,2020-02-05
COVID-19 Research Paper 18,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 18.",BMJ,Smith et al.,WHO,2021-11-21
COVID-19 Research Paper 19,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 19.",PLOS ONE,Brown et al.,bioRxiv,2022-01-23
COVID-19 Research Paper 20,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 20.",The Lancet,Smith et al.,arXiv,2023-09-05
COVID-19 Research Paper 21,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 21.",The Lancet,Lee et al.,PubMed,2022-03-16
COVID-19 Research Paper 22,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 22.",JAMA,Wang et al.,WHO,2023-03-06
COVID-19 Research Paper 23,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 23.",PLOS ONE,Johnson et al.,PubMed,2021-06-06
COVID-19 Research Paper 24,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 24.",BMJ,Lee et al.,bioRxiv,2020-03-23
COVID-19 Research Paper 25,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 25.",PLOS ONE,Smith et al.,Elsevier,2022-05-14
COVID-19 Research Paper 26,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 26.",The Lancet,Johnson et al.,Elsevier,2020-09-30
COVID-19 Research Paper 27,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 27.",BMJ,Brown et al.,bioRxiv,2022-07-17
COVID-19 Research Paper 28,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 28.",Nature,Garcia et al.,WHO,2023-03-13
COVID-19 Research Paper 29,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 29.",JAMA,Wang et al.,bioRxiv,2020-08-06
COVID-19 Research Paper 30,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 30.",JAMA,Lee et al.,WHO,2022-10-11
COVID-19 Research Paper 31,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 31.",JAMA,Smith et al.,arXiv,2021-09-30
COVID-19 Research Paper 32,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 32.",PLOS ONE,Garcia et al.,bioRxiv,2023-07-02
COVID-19 Research Paper 33,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 33.",Science,Wang et al.,Elsevier,2023-06-30
COVID-19 Research Paper 34,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 34.",Science,Johnson et al.,bioRxiv,2020-06-10
COVID-19 Research Paper 35,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 35.",PLOS ONE,Lee et al.,arXiv,2021-04-04
COVID-19 Research Paper 36,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 36.",PLOS ONE,Lee et al.,arXiv,2023-06-12
COVID-19 Research Paper 37,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 37.",JAMA,Garcia et al.,WHO,2020-12-10
COVID-19 Research Paper 38,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 38.",The Lancet,Lee et al.,WHO,2020-02-27
COVID-19 Research Paper 39,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 39.",Science,Johnson et al.,arXiv,2022-02-18
COVID-19 Research Paper 40,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 40.",BMJ,Johnson et al.,Elsevier,2023-04-07
COVID-19 Research Paper 41,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 41.",Science,Garcia et al.,WHO,2020-03-20
COVID-19 Research Paper 42,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 42.",JAMA,Garcia et al.,bioRxiv,2020-02-04
COVID-19 Research Paper 43,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 43.",BMJ,Wang et al.,Elsevier,2022-06-28
COVID-19 Research Paper 44,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 44.",Nature,Wang et al.,WHO,2021-03-10
COVID-19 Research Paper 45,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 45.",JAMA,Brown et al.,Elsevier,2023-08-06
COVID-19 Research Paper 46,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 46.",Science,Wang et al.,WHO,2020-09-19
COVID-19 Research Paper 47,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 47.",BMJ,Lee et al.,Elsevier,2021-06-26
COVID-19 Research Paper 48,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 48.",BMJ,Wang et al.,WHO,2020-01-26
COVID-19 Research Paper 49,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 49.",Cell,Brown et al.,arXiv,2022-02-09
COVID-19 Research Paper 50,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 50.",Cell,Smith et al.,Elsevier,2020-03-28
COVID-19 Research Paper 51,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 51.",The Lancet,Johnson et al.,Elsevier,2020-07-28
COVID-19 Research Paper 52,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 52.",PLOS ONE,Brown et al.,Elsevier,2022-04-25
COVID-19 Research Paper 53,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 53.",Science,Smith et al.,bioRxiv,2020-04-14
COVID-19 Research Paper 54,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 54.",BMJ,Johnson et al.,arXiv,2023-05-31
COVID-19 Research Paper 55,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 55.",BMJ,Smith et al.,PubMed,2022-10-06
COVID-19 Research Paper 56,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 56.",The Lancet,Brown et al.,bioRxiv,2021-06-11
COVID-19 Research Paper 57,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 57.",PLOS ONE,Smith et al.,PubMed,2023-11-22
COVID-19 Research Paper 58,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 58.",Nature,Garcia et al.,PubMed,2021-12-22
COVID-19 Research Paper 59,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 59.",Science,Lee et al.,Elsevier,2020-09-02
COVID-19 Research Paper 60,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 60.",Science,Lee et al.,bioRxiv,2023-03-16
COVID-19 Research Paper 61,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 61.",Science,Lee et al.,PubMed,2022-07-10
COVID-19 Research Paper 62,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 62.",The Lancet,Smith et al.,WHO,2021-07-02
COVID-19 Research Paper 63,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 63.",Cell,Smith et al.,bioRxiv,2022-09-07
COVID-19 Research Paper 64,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 64.",Cell,Lee et al.,Elsevier,2023-01-17
COVID-19 Research Paper 65,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 65.",JAMA,Lee et al.,WHO,2021-10-18
COVID-19 Research Paper 66,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 66.",BMJ,Lee et al.,Elsevier,2020-10-14
COVID-19 Research Paper 67,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 67.",Science,Johnson et al.,Elsevier,2021-04-07
COVID-19 Research Paper 68,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 68.",BMJ,Wang et al.,arXiv,2022-10-30
COVID-19 Research Paper 69,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 69.",Cell,Brown et al.,PubMed,2021-05-06
COVID-19 Research Paper 70,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 70.",JAMA,Brown et al.,PubMed,2020-05-23
COVID-19 Research Paper 71,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 71.",Cell,Garcia et al.,Elsevier,2023-07-01
COVID-19 Research Paper 72,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 72.",The Lancet,Lee et al.,Elsevier,2022-08-16
COVID-19 Research Paper 73,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 73.",Cell,Lee et al.,WHO,2021-02-10
COVID-19 Research Paper 74,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 74.",The Lancet,Garcia et al.,PubMed,2023-12-11
COVID-19 Research Paper 75,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 75.",Nature,Wang et al.,WHO,2021-06-18
COVID-19 Research Paper 76,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 76.",PLOS ONE,Garcia et al.,bioRxiv,2021-02-17
COVID-19 Research Paper 77,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 77.",Cell,Garcia et al.,WHO,2020-11-16
COVID-19 Research Paper 78,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 78.",BMJ,Brown et al.,WHO,2022-03-27
COVID-19 Research Paper 79,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 79.",JAMA,Lee et al.,arXiv,2022-09-12
COVID-19 Research Paper 80,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 80.",BMJ,Garcia et al.,arXiv,2022-02-08
COVID-19 Research Paper 81,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 81.",Nature,Wang et al.,PubMed,2020-02-23
COVID-19 Research Paper 82,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 82.",BMJ,Johnson et al.,Elsevier,2023-11-03
COVID-19 Research Paper 83,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 83.",JAMA,Garcia et al.,Elsevier,2022-07-17
COVID-19 Research Paper 84,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 84.",Science,Johnson et al.,PubMed,2022-06-25
COVID-19 Research Paper 85,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 85.",Science,Lee et al.,bioRxiv,2022-07-18
COVID-19 Research Paper 86,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 86.",JAMA,Lee et al.,arXiv,2020-07-09
COVID-19 Research Paper 87,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 87.",PLOS ONE,Garcia et al.,Elsevier,2022-10-13
COVID-19 Research Paper 88,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 88.",Cell,Brown et al.,arXiv,2022-11-22
COVID-19 Research Paper 89,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 89.",PLOS ONE,Smith et al.,PubMed,2023-06-02
COVID-19 Research Paper 90,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 90.",JAMA,Brown et al.,WHO,2020-05-21
COVID-19 Research Paper 91,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 91.",The Lancet,Wang et al.,WHO,2022-08-01
COVID-19 Research Paper 92,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 92.",JAMA,Smith et al.,Elsevier,2020-01-21
COVID-19 Research Paper 93,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 93.",Science,Smith et al.,bioRxiv,2021-06-23
COVID-19 Research Paper 94,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 94.",Science,Smith et al.,WHO,2023-01-24
COVID-19 Research Paper 95,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 95.",Science,Garcia et al.,arXiv,2021-09-15
COVID-19 Research Paper 96,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 96.",The Lancet,Wang et al.,Elsevier,2021-01-26
COVID-19 Research Paper 97,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 97.",JAMA,Smith et al.,arXiv,2022-03-19
COVID-19 Research Paper 98,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 98.",Science,Lee et al.,arXiv,2022-07-22
COVID-19 Research Paper 99,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 99.",The Lancet,Johnson et al.,PubMed,2021-06-21
COVID-19 Research Paper 100,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 100.",Nature,Brown et al.,bioRxiv,2021-11-29
COVID-19 Research Paper 101,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 101.",PLOS ONE,Johnson et al.,arXiv,2020-06-29
COVID-19 Research Paper 102,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 102.",The Lancet,Wang et al.,bioRxiv,2022-08-31
COVID-19 Research Paper 103,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 103.",Cell,Lee et al.,Elsevier,2023-06-15
COVID-19 Research Paper 104,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 104.",Cell,Brown et al.,bioRxiv,2022-03-22
COVID-19 Research Paper 105,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 105.",Nature,Johnson et al.,arXiv,2022-03-23
COVID-19 Research Paper 106,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 106.",The Lancet,Lee et al.,PubMed,2023-08-10
COVID-19 Research Paper 107,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 107.",BMJ,Lee et al.,arXiv,2021-06-17
COVID-19 Research Paper 108,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 108.",The Lancet,Johnson et al.,arXiv,2023-01-31
COVID-19 Research Paper 109,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 109.",BMJ,Brown et al.,bioRxiv,2020-02-18
COVID-19 Research Paper 110,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 110.",The Lancet,Garcia et al.,PubMed,2022-11-04
COVID-19 Research Paper 111,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 111.",Nature,Smith et al.,bioRxiv,2020-02-07
COVID-19 Research Paper 112,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 112.",Nature,Brown et al.,Elsevier,2020-03-29
COVID-19 Research Paper 113,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 113.",Cell,Wang et al.,WHO,2020-12-24
COVID-19 Research Paper 114,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 114.",Cell,Lee et al.,bioRxiv,2021-11-04
COVID-19 Research Paper 115,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 115.",The Lancet,Brown et al.,PubMed,2022-01-04
COVID-19 Research Paper 116,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 116.",Nature,Lee et al.,PubMed,2022-05-06
COVID-19 Research Paper 117,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 117.",BMJ,Smith et al.,WHO,2023-06-10
COVID-19 Research Paper 118,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 118.",Nature,Smith et al.,PubMed,2020-05-24
COVID-19 Research Paper 119,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 119.",Nature,Lee et al.,WHO,2020-09-18
COVID-19 Research Paper 120,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 120.",BMJ,Smith et al.,bioRxiv,2022-04-16
COVID-19 Research Paper 121,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 121.",Science,Smith et al.,bioRxiv,2021-07-03
COVID-19 Research Paper 122,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 122.",The Lancet,Brown et al.,PubMed,2023-05-17
COVID-19 Research Paper 123,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 123.",Cell,Johnson et al.,bioRxiv,2020-05-31
COVID-19 Research Paper 124,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 124.",The Lancet,Garcia et al.,arXiv,2021-12-10
COVID-19 Research Paper 125,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 125.",PLOS ONE,Lee et al.,bioRxiv,2020-09-24
COVID-19 Research Paper 126,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 126.",The Lancet,Garcia et al.,WHO,2022-11-08
COVID-19 Research Paper 127,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 127.",BMJ,Johnson et al.,WHO,2023-12-16
COVID-19 Research Paper 128,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 128.",Cell,Wang et al.,bioRxiv,2020-10-19
COVID-19 Research Paper 129,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 129.",BMJ,Johnson et al.,arXiv,2023-11-11
COVID-19 Research Paper 130,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 130.",PLOS ONE,Wang et al.,bioRxiv,2023-04-16
COVID-19 Research Paper 131,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 131.",JAMA,Brown et al.,PubMed,2020-06-12
COVID-19 Research Paper 132,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 132.",PLOS ONE,Lee et al.,bioRxiv,2021-08-20
COVID-19 Research Paper 133,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 133.",Nature,Garcia et al.,Elsevier,2021-01-26
COVID-19 Research Paper 134,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 134.",Cell,Johnson et al.,PubMed,2021-01-09
COVID-19 Research Paper 135,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 135.",The Lancet,Wang et al.,WHO,2020-04-17
COVID-19 Research Paper 136,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 136.",BMJ,Lee et al.,arXiv,2023-11-25
COVID-19 Research Paper 137,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 137.",PLOS ONE,Smith et al.,PubMed,2021-02-25
COVID-19 Research Paper 138,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 138.",Science,Lee et al.,PubMed,2020-04-23
COVID-19 Research Paper 139,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 139.",Nature,Johnson et al.,WHO,2021-03-31
COVID-19 Research Paper 140,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 140.",Nature,Wang et al.,PubMed,2021-07-03
COVID-19 Research Paper 141,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 141.",PLOS ONE,Wang et al.,WHO,2023-12-23
COVID-19 Research Paper 142,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 142.",Nature,Brown et al.,PubMed,2021-03-23
COVID-19 Research Paper 143,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 143.",Science,Johnson et al.,WHO,2020-10-31
COVID-19 Research Paper 144,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 144.",The Lancet,Smith et al.,PubMed,2023-08-17
COVID-19 Research Paper 145,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 145.",Cell,Smith et al.,WHO,2022-10-08
COVID-19 Research Paper 146,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 146.",JAMA,Lee et al.,bioRxiv,2021-01-04
COVID-19 Research Paper 147,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 147.",JAMA,Brown et al.,Elsevier,2023-06-06
COVID-19 Research Paper 148,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 148.",The Lancet,Brown et al.,arXiv,2020-12-31
COVID-19 Research Paper 149,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 149.",The Lancet,Smith et al.,PubMed,2020-11-07
COVID-19 Research Paper 150,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 150.",Cell,Johnson et al.,PubMed,2023-09-12
COVID-19 Research Paper 151,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 151.",JAMA,Johnson et al.,WHO,2020-03-12
COVID-19 Research Paper 152,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 152.",PLOS ONE,Garcia et al.,PubMed,2020-02-19
COVID-19 Research Paper 153,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 153.",BMJ,Brown et al.,bioRxiv,2021-02-19
COVID-19 Research Paper 154,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 154.",BMJ,Johnson et al.,arXiv,2020-01-03
COVID-19 Research Paper 155,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 155.",The Lancet,Lee et al.,WHO,2020-05-02
COVID-19 Research Paper 156,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 156.",Science,Brown et al.,arXiv,2023-05-25
COVID-19 Research Paper 157,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 157.",Nature,Lee et al.,Elsevier,2020-01-23
COVID-19 Research Paper 158,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 158.",JAMA,Lee et al.,arXiv,2023-04-09
COVID-19 Research Paper 159,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 159.",Cell,Brown et al.,bioRxiv,2022-09-07
COVID-19 Research Paper 160,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 160.",Science,Lee et al.,WHO,2020-07-09
COVID-19 Research Paper 161,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 161.",JAMA,Johnson et al.,bioRxiv,2021-08-01
COVID-19 Research Paper 162,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 162.",Cell,Smith et al.,PubMed,2022-09-10
COVID-19 Research Paper 163,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 163.",JAMA,Garcia et al.,PubMed,2021-11-16
COVID-19 Research Paper 164,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 164.",Nature,Johnson et al.,PubMed,2022-01-19
COVID-19 Research Paper 165,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 165.",JAMA,Wang et al.,WHO,2021-01-14
COVID-19 Research Paper 166,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 166.",Science,Johnson et al.,bioRxiv,2021-10-11
COVID-19 Research Paper 167,"This paper discusses the effects of COVID-19 on society, healthcare, and global policies. Analysis 167.",Nature,Brown et al.,Elsevier,2020-10-20
